ymd,bWendu,yWendu,tianqi,fengxiang,fengli
2019-05-14,30℃,16℃,多云,东南风,2级
2019-05-15,28℃,16℃,雷阵雨~多云,西南风,2级
2019-05-16,32℃,17℃,晴,东南风,2级
2019-05-17,33℃,20℃,多云~阴,东南风,2级
2019-05-18,29℃,18℃,阴~小雨,东南风,2级
2019-05-19,28℃,13℃,多云~晴,西北风,4级
2019-05-20,26℃,13℃,晴,西北风,4级
2019-05-21,31℃,14℃,晴,西北风,2级
2019-05-22,35℃,18℃,晴,西北风,2级
2019-05-23,37℃,21℃,晴,东南风,2级
2019-05-24,35℃,21℃,多云,西南风,3级
2019-05-25,35℃,20℃,多云~雷阵雨,东南风,2级
2019-05-26,24℃,17℃,中雨~多云,东北风,3级
2019-05-27,29℃,15℃,晴,西北风,3级
2019-05-28,32℃,17℃,晴,西北风,2级
2019-05-29,33℃,22℃,晴~多云,东南风,2级
2019-05-30,30℃,15℃,多云~晴,西北风,3级
2019-05-31,30℃,19℃,晴~多云,西北风,2级
2019-06-01,30℃,18℃,雷阵雨~多云,东南风,2级
2019-06-02,32℃,19℃,多云,东南风,2级
2019-06-03,34℃,20℃,多云,北风,2级
2019-06-04,28℃,19℃,雷阵雨~小雨,东南风,2级
2019-06-05,31℃,19℃,多云~小雨,东南风,2级
2019-06-06,26℃,18℃,小雨~多云,东南风,2级
2019-06-07,31℃,21℃,多云~雷阵雨,西南风,2级
2019-06-08,34℃,20℃,多云~晴,西北风,2级
2019-06-09,31℃,18℃,多云~晴,东北风,3级
2019-06-10,33℃,18℃,晴,东北风,2级
2019-06-11,32℃,20℃,晴~多云,东南风,2级
2019-06-12,33℃,22℃,多云~雷阵雨,东南风,2级
2019-06-13,29℃,20℃,雷阵雨~晴,东北风,2级
2019-06-14,35℃,20℃,晴,东北风,2级
2019-06-15,32℃,19℃,多云~雷阵雨,东南风,2级
2019-06-16,25℃,18℃,雷阵雨~多云,东南风,2级
2019-06-17,29℃,20℃,多云,西南风,2级
2019-06-18,33℃,22℃,雷阵雨,西南风,2级
2019-06-19,33℃,22℃,多云,东南风,2级
2019-06-20,36℃,23℃,多云~晴,东南风,2级
2019-06-21,32℃,21℃,多云,东南风,2级
2019-06-22,34℃,22℃,晴,西南风,2级
2019-06-23,35℃,23℃,晴~多云,东南风,2级
2019-06-24,36℃,24℃,多云,东南风,2级
2019-06-25,36℃,24℃,多云,东南风,2级
2019-06-26,35℃,22℃,多云,东南风,2级
2019-06-27,33℃,23℃,多云~雷阵雨,西北风,2级
2019-06-28,32℃,22℃,多云,西南风,3级
2019-06-29,35℃,23℃,多云,西北风,3级
2019-06-30,32℃,21℃,晴,西北风,3级
2019-07-01,35℃,23℃,晴~多云,东北风,1级
2019-07-02,35℃,23℃,多云~晴,东南风,2级
2019-07-03,36℃,24℃,晴,东南风,1级
2019-07-04,38℃,25℃,晴~多云,西南风,2级
2019-07-05,33℃,22℃,雷阵雨,东北风,2级
2019-07-06,26℃,21℃,雷阵雨~中雨,东北风,3级
2019-07-07,28℃,20℃,小雨~多云,东北风,3级
2019-07-08,30℃,22℃,多云,东南风,2级
2019-07-09,29℃,21℃,雷阵雨~中雨,东南风,2级
2019-07-10,28℃,19℃,雷阵雨~多云,东北风,2级
2019-07-11,29℃,21℃,多云,东南风,2级
2019-07-12,33℃,22℃,多云~晴,西南风,1级
2019-07-13,33℃,23℃,雷阵雨~多云,东北风,1级
2019-07-14,33℃,23℃,雷阵雨~多云,东南风,2级
2019-07-15,35℃,24℃,晴~多云,东南风,2级
2019-07-16,33℃,24℃,多云~雷阵雨,东南风,2级
2019-07-17,30℃,23℃,雷阵雨,东南风,2级
2019-07-18,32℃,24℃,阴~多云,东南风,2级
2019-07-19,33℃,25℃,多云~雷阵雨,东南风,2级
2019-07-20,30℃,24℃,雷阵雨~多云,东南风,2级
2019-07-21,36℃,27℃,晴~多云,西南风,2级
2019-07-22,35℃,25℃,多云~中雨,西南风,2级
2019-07-23,34℃,25℃,晴,西南风,2级
2019-07-24,36℃,27℃,多云~雷阵雨,西南风,2级
2019-07-25,35℃,26℃,多云~晴,西南风,2级
2019-07-26,37℃,27℃,晴,西南风,2级
2019-07-27,36℃,27℃,多云,东南风,2级
2019-07-28,35℃,26℃,多云~雷阵雨,东南风,2级
2019-07-29,29℃,23℃,中雨~多云,东北风,2级
2019-07-30,34℃,24℃,多云~晴,西南风,2级
2019-07-31,35℃,24℃,晴~多云,东北风,2级
2019-08-01,32℃,24℃,中雨~雷阵雨,东南风,2级
2019-08-02,30℃,24℃,雷阵雨~小雨,东南风,2级
2019-08-03,31℃,24℃,阴,东南风,2级
2019-08-04,29℃,23℃,雷阵雨,东南风,1级
2019-08-05,28℃,24℃,中雨~雷阵雨,东南风,2级
2019-08-06,30℃,24℃,雷阵雨,东南风,2级
2019-08-07,29℃,23℃,雷阵雨,东南风,2级
2019-08-08,32℃,25℃,多云~雷阵雨,东南风,2级
2019-08-09,30℃,23℃,雷阵雨~中雨,西南风,2级
2019-08-10,29℃,23℃,雷阵雨,东南风,2级
2019-08-11,28℃,24℃,中雨~小雨,东北风,2级
2019-08-12,30℃,23℃,中雨~小雨,东北风,3级
2019-08-13,31℃,22℃,阴~多云,西北风,2级
2019-08-14,32℃,21℃,多云~晴,东南风,2级
2019-08-15,32℃,22℃,雷阵雨~中雨,西南风,2级
2019-08-16,31℃,22℃,晴,西北风,3级
2019-08-17,31℃,19℃,晴,西北风,3级
2019-08-18,31℃,21℃,晴,西南风,2级
2019-08-19,31℃,22℃,多云,西南风,2级
2019-08-20,27℃,19℃,小雨~多云,东南风,2级
2019-08-21,31℃,21℃,晴,西北风,2级
2019-08-22,32℃,20℃,晴~多云,西北风,2级
2019-08-23,30℃,19℃,多云,西北风,2级
2019-08-24,30℃,18℃,晴,西南风,2级
2019-08-25,30℃,20℃,晴~多云,西南风,2级
2019-08-26,29℃,19℃,多云,西南风,2级
2019-08-27,33℃,20℃,晴,西北风,2级
2019-08-28,31℃,20℃,多云~晴,西北风,3级
2019-08-29,30℃,20℃,多云~晴,西北风,3级
2019-08-30,30℃,18℃,晴,西北风,2级
2019-08-31,32℃,18℃,晴,东南风,2级
2019-09-01,33℃,19℃,多云~晴,西南风,2级
2019-09-02,34℃,20℃,晴,南风,2级
2019-09-03,33℃,20℃,晴,东南风,2级
2019-09-04,32℃,19℃,晴,东南风,2级
2019-09-05,33℃,20℃,晴,东南风,2级
2019-09-06,33℃,20℃,晴,东南风,1级
2019-09-07,34℃,21℃,晴,西南风,2级
2019-09-08,35℃,22℃,晴~多云,东北风,2级
2019-09-09,32℃,21℃,小雨,东北风,2级
2019-09-10,25℃,18℃,小雨~阴,东北风,2级
2019-09-11,24℃,18℃,多云,西南风,2级
2019-09-12,25℃,18℃,阴~中雨,西南风,2级
2019-09-13,26℃,18℃,小雨~多云,西北风,2级
2019-09-14,29℃,17℃,晴~多云,西南风,2级
2019-09-15,28℃,17℃,多云,西南风,2级
2019-09-16,26℃,17℃,多云,东南风,2级
2019-09-17,28℃,16℃,多云~晴,西南风,2级
2019-09-18,24℃,14℃,晴~多云,东南风,2级
2019-09-19,25℃,16℃,多云~阴,西南风,1级
2019-09-20,27℃,16℃,多云,西北风,1级
2019-09-21,27℃,16℃,多云~晴,东北风,2级
2019-09-22,27℃,16℃,晴,东南风,1级
2019-09-23,30℃,17℃,晴,西北风,2级
2019-09-24,31℃,15℃,晴,东北风,2级
2019-09-25,31℃,16℃,晴,西南风,2级
2019-09-26,30℃,15℃,晴,东南风,1级
2019-09-27,29℃,15℃,晴,东南风,2级
2019-09-28,30℃,17℃,晴,西南风,1级
2019-09-29,29℃,18℃,多云,东南风,1级
2019-09-30,30℃,19℃,多云~晴,西南风,2级
2019-10-01,30℃,20℃,多云,西南风,2级
2019-10-02,29℃,17℃,晴~多云,东南风,2级
2019-10-03,29℃,13℃,多云~小雨,东南风,2级
2019-10-04,15℃,9℃,小雨~晴,东南风,2级
2019-10-05,19℃,9℃,晴~多云,东北风,2级
2019-10-06,19℃,9℃,多云,西南风,2级
2019-10-07,24℃,10℃,晴,西北风,2级
2019-10-08,20℃,9℃,晴,西北风,3级
2019-10-09,22℃,11℃,多云,西南风,2级
2019-10-10,22℃,12℃,多云,东南风,2级
2019-10-11,18℃,13℃,阴~多云,东南风,2级
2019-10-12,18℃,9℃,多云~小雨,东南风,2级
2019-10-13,12℃,5℃,小雨~多云,东南风,2级
2019-10-14,16℃,4℃,晴,西北风,2级
2019-10-15,17℃,6℃,晴~多云,西南风,1级
2019-10-16,15℃,9℃,阴~小雨,西南风,2级
2019-10-17,14℃,7℃,小雨~多云,东南风,1级
2019-10-18,18℃,7℃,多云,西南风,1级
2019-10-19,20℃,10℃,多云,西南风,1级
2019-10-20,22℃,7℃,晴,西北风,3级
2019-10-21,19℃,6℃,晴,东南风,2级
2019-10-22,20℃,7℃,晴,东北风,1级
2019-10-23,21℃,11℃,多云,东北风,1级
2019-10-24,16℃,7℃,小雨~多云,西北风,2级
2019-10-25,14℃,2℃,晴,西北风,3级
2019-10-26,16℃,3℃,晴,西南风,2级
2019-10-27,18℃,5℃,晴~多云,西南风,1级
2019-10-28,15℃,2℃,晴,西北风,4级
2019-10-29,16℃,3℃,晴,西南风,1级
2019-10-30,20℃,5℃,晴,西南风,1级
2019-10-31,22℃,4℃,晴,东北风,2级
2019-11-01,18℃,8℃,多云~小雨,东南风,2级
2019-11-02,13℃,8℃,小雨,东北风,1级
2019-11-03,14℃,4℃,多云~晴,东南风,2级
2019-11-04,16℃,5℃,晴,西南风,1级
2019-11-05,16℃,6℃,晴~多云,东南风,2级
2019-11-06,16℃,5℃,多云~晴,东南风,1级
2019-11-07,12℃,1℃,晴,东南风,2级
2019-11-08,15℃,2℃,晴~多云,西北风,1级
2019-11-09,14℃,6℃,多云~中雨,东北风,1级
2019-11-10,17℃,6℃,多云~晴,西北风,4级
2019-11-11,16℃,4℃,晴,西北风,2级
2019-11-12,18℃,5℃,多云,西北风,1级
2019-11-13,8℃,-4℃,晴,西北风,4级
2019-11-14,10℃,-2℃,晴,东南风,1级
2019-11-15,9℃,1℃,晴,东南风,2级
2019-11-16,9℃,4℃,多云~小雨,东南风,2级
2019-11-17,12℃,-4℃,多云~晴,西北风,3级
2019-11-18,4℃,-5℃,晴,西北风,3级
2019-11-19,7℃,-3℃,多云,西南风,2级
2019-11-20,7℃,-2℃,晴,东北风,1级
2019-11-21,9℃,-1℃,晴~多云,东北风,1级
2019-11-22,10℃,2℃,多云~阴,东北风,1级
2019-11-23,12℃,4℃,阴~多云,西北风,2级
2019-11-24,6℃,-5℃,晴,西北风,4级
2019-11-25,3℃,-5℃,晴,西南风,2级
2019-11-26,5℃,-4℃,晴,西北风,1级
2019-11-27,4℃,-6℃,晴,东北风,2级
2019-11-28,3℃,-5℃,晴~多云,东北风,1级
2019-11-29,3℃,-4℃,小雪,东南风,1级
2019-11-30,5℃,-5℃,多云~晴,西北风,2级
2019-12-01,4℃,-5℃,晴,西北风,2级
2019-12-02,4℃,-5℃,晴,西南风,2级
2019-12-03,7℃,-4℃,晴,西北风,2级
2019-12-04,8℃,-5℃,晴,西北风,2级
2019-12-05,2℃,-6℃,晴,东北风,2级
2019-12-06,4℃,-5℃,晴,西北风,1级
2019-12-07,6℃,-6℃,晴~多云,东北风,1级
2019-12-08,5℃,-5℃,多云,东北风,1级
2019-12-09,3℃,-5℃,霾~雾,西北风,1级
2019-12-10,9℃,-3℃,雾~晴,西北风,3级
2019-12-11,4℃,-6℃,晴,西北风,3级
2019-12-12,5℃,-5℃,晴,西北风,1级
2019-12-13,10℃,-5℃,晴,西北风,2级
2019-12-14,5℃,-3℃,晴~多云,东北风,1级
2019-12-15,3℃,-2℃,多云~中雪,东北风,1级
2019-12-16,2℃,-4℃,小雪~多云,东北风,1级
2019-12-17,6℃,-7℃,晴,西北风,3级
2019-12-18,2℃,-6℃,晴,东北风,1级
2019-12-19,2℃,-9℃,晴,西北风,3级
2019-12-20,3℃,-7℃,晴,东北风,1级
2019-12-21,4℃,-6℃,多云,东北风,1级
2019-12-22,5℃,-5℃,多云~晴,东北风,1级
2019-12-23,3℃,-4℃,多云~阴,东北风,2级
2019-12-24,1℃,-6℃,小雪~多云,东南风,1级
2019-12-25,5℃,-6℃,多云,东北风,2级
2019-12-26,4℃,-7℃,多云~晴,西北风,2级
2019-12-27,4℃,-6℃,晴,东北风,1级
2019-12-28,3℃,-7℃,晴~多云,东北风,1级
2019-12-29,5℃,-7℃,多云~晴,西北风,3级
2019-12-30,-5℃,-12℃,晴,西北风,4级
2019-12-31,-3℃,-10℃,晴,西北风,1级
2020-01-01,0℃,-9℃,晴,东北风,1级
2020-01-02,4℃,-8℃,多云,西北风,1级
2020-01-03,7℃,-5℃,晴,西北风,1级
2020-01-04,9℃,-5℃,晴,东北风,1级
2020-01-05,2℃,-3℃,阴~小雪,东北风,1级
2020-01-06,3℃,-2℃,阴~多云,北风,1级
2020-01-07,2℃,-4℃,阴~晴,西北风,2级
2020-01-08,5℃,-6℃,晴,西北风,2级
2020-01-09,4℃,-7℃,晴,东北风,1级
2020-01-10,6℃,-4℃,晴~多云,西北风,2级
2020-01-11,0℃,-7℃,阴,东北风,2级
2020-01-12,2℃,-6℃,多云~晴,东北风,1级
2020-01-13,0℃,-8℃,晴,西北风,3级
2020-01-14,1℃,-9℃,晴,东北风,2级
2020-01-15,1℃,-7℃,多云,西北风,1级
2020-01-16,2℃,-7℃,多云,东北风,1级
2020-01-17,3℃,-7℃,阴~晴,西北风,1级
2020-01-18,-2℃,-4℃,雾~多云,西北风,1级
2020-01-19,5℃,-4℃,多云~晴,西北风,2级
2020-01-20,6℃,-7℃,晴,西北风,2级
2020-01-21,4℃,-6℃,多云~晴,东北风,1级
2020-01-22,6℃,-5℃,晴,东北风,1级
2020-01-23,8℃,-6℃,晴,东北风,2级
2020-01-24,4℃,-6℃,晴,东南风,1级
2020-01-25,5℃,-5℃,多云,西北风,1级
2020-01-26,3℃,-4℃,阴~多云,东北风,1级
2020-01-27,5℃,-4℃,阴,东北风,1级
2020-01-28,5℃,-4℃,阴~霾,东北风,1级
2020-01-29,8℃,-6℃,多云~晴,西北风,1级
2020-01-30,6℃,-6℃,晴,西南风,1级
2020-01-31,8℃,-5℃,晴,西北风,2级
2020-02-01,4℃,-3℃,多云~小雪,东北风,2级
2020-02-02,3℃,-7℃,小雪~晴,西北风,2级
2020-02-03,3℃,-6℃,晴,西南风,2级
2020-02-04,2℃,-8℃,晴~多云,东北风,2级
2020-02-05,-3℃,-6℃,小雪,东南风,2级
2020-02-06,-3℃,-9℃,中雪~多云,东南风,1级
2020-02-07,1℃,-7℃,多云~晴,东北风,1级
2020-02-08,7℃,-7℃,晴,西北风,1级
2020-02-09,6℃,-5℃,多云~晴,东北风,1级
2020-02-10,12℃,-5℃,雾~晴,东北风,1级
2020-02-11,10℃,-2℃,雾,东北风,1级
2020-02-12,11℃,-2℃,雾,东北风,1级
2020-02-13,8℃,0℃,雾~雨夹雪,东北风,2级
2020-02-14,0℃,-6℃,暴雪~阴,东北风,2级
2020-02-15,0℃,-4℃,中雪~晴,西北风,4级
2020-02-16,3℃,-5℃,阴~晴,西北风,3级
2020-02-17,6℃,-5℃,晴,西北风,2级
2020-02-18,10℃,-4℃,多云~晴,东北风,1级
2020-02-19,8℃,-4℃,晴~多云,东北风,2级
2020-02-20,4℃,-3℃,多云~晴,东南风,1级
2020-02-21,9℃,-2℃,多云~晴,西北风,2级
2020-02-22,9℃,-3℃,晴,西北风,3级
2020-02-23,10℃,0℃,晴~多云,东北风,1级
2020-02-24,9℃,3℃,阴~小雨,东北风,2级
2020-02-25,9℃,-2℃,阴~晴,东南风,2级
2020-02-26,8℃,-2℃,多云~阴,东南风,2级
2020-02-27,5℃,-3℃,阴~多云,西南风,3级
2020-02-28,8℃,0℃,晴~多云,西南风,1级
2020-02-29,3℃,1℃,雨夹雪~小雨,东南风,1级
2020-03-01,10℃,-3℃,雾~晴,西北风,2级
2020-03-02,9℃,-1℃,阴~雨夹雪,东南风,2级
2020-03-03,8℃,-3℃,晴,西北风,3级
2020-03-04,7℃,-2℃,晴,西北风,2级
2020-03-05,9℃,-2℃,晴,西南风,2级
2020-03-06,10℃,1℃,晴~小雨,东北风,2级
2020-03-07,15℃,1℃,晴~雾,东北风,2级
2020-03-08,6℃,5℃,雾~小雨,东北风,2级
2020-03-09,11℃,-1℃,阴~多云,东南风,2级
2020-03-10,11℃,-4℃,晴,西北风,3级
2020-03-11,16℃,1℃,晴,东北风,1级
2020-03-12,14℃,-2℃,多云,东北风,3级
2020-03-13,12℃,-1℃,晴,西北风,3级
2020-03-14,16℃,3℃,晴,西北风,3级
2020-03-15,18℃,0℃,晴,东北风,2级
2020-03-16,12℃,3℃,晴,东南风,2级
2020-03-17,23℃,3℃,晴~多云,西北风,2级
2020-03-18,26℃,5℃,晴,西北风,3级
2020-03-19,17℃,4℃,晴~多云,西北风,3级
2020-03-20,24℃,7℃,阴~多云,西北风,2级
2020-03-21,17℃,3℃,多云~晴,东南风,2级
2020-03-22,21℃,7℃,晴,西南风,2级
2020-03-23,22℃,6℃,晴~多云,东南风,2级
2020-03-24,18℃,5℃,阴~多云,东南风,2级
2020-03-25,21℃,5℃,多云~小雨,东南风,2级
2020-03-26,12℃,2℃,小雨~多云,西北风,4级
2020-03-27,13℃,-1℃,晴,西北风,3级
2020-03-28,14℃,2℃,晴,西南风,2级
2020-03-29,16℃,5℃,多云,西南风,2级
2020-03-30,18℃,7℃,阴~多云,西南风,2级
2020-03-31,19℃,7℃,阴~多云,东北风,2级
2020-04-01,16℃,3℃,阴~晴,东北风,3级
2020-04-02,20℃,7℃,晴,西北风,2级
2020-04-03,24℃,9℃,晴,西北风,2级
2020-04-04,18℃,4℃,晴,东南风,3级
2020-04-05,19℃,6℃,晴,西南风,2级
2020-04-06,23℃,9℃,多云,东南风,2级
2020-04-07,18℃,5℃,阴~晴,东南风,2级
2020-04-08,15℃,7℃,多云~小雨,东南风,2级
2020-04-09,12℃,4℃,阴~多云,西南风,2级
2020-04-10,17℃,6℃,晴,西南风,1级
2020-04-11,23℃,10℃,晴,西北风,2级
2020-04-12,25℃,6℃,晴,东北风,3级
2020-04-13,27℃,10℃,晴,西南风,1级
2020-04-14,26℃,11℃,多云,西南风,2级
2020-04-15,24℃,11℃,多云~中雨,东南风,2级
2020-04-16,19℃,11℃,浮尘~多云,西北风,3级
2020-04-17,21℃,8℃,晴,东北风,3级
2020-04-18,22℃,11℃,阴,东南风,2级
2020-04-19,21℃,10℃,多云,西南风,3级
2020-04-20,15℃,4℃,晴,西北风,4级
2020-04-21,13℃,4℃,晴,西北风,4级
2020-04-22,16℃,6℃,晴,西北风,4级
2020-04-23,19℃,6℃,晴,西北风,3级
2020-04-24,29℃,12℃,浮尘~扬沙,西北风,3级
2020-04-25,22℃,9℃,阴~晴,东北风,3级
2020-04-26,22℃,7℃,阴~晴,东北风,2级
2020-04-27,28℃,11℃,晴,南风,2级
2020-04-28,27℃,16℃,晴,西南风,2级
2020-04-29,28℃,15℃,晴,南风,2级
2020-04-30,32℃,17℃,多云~晴,南风,1级
2020-05-01,34℃,21℃,多云~晴,西南风,2级
2020-05-02,32℃,17℃,晴,南风,3级
2020-05-03,25℃,14℃,阴~雷阵雨,东风,2级
2020-05-04,17℃,10℃,阴~雾,南风,3级
2020-05-05,22℃,13℃,晴,西南风,2级
2020-05-06,25℃,13℃,多云~小雨,东南风,2级
2020-05-07,19℃,13℃,阴~小雨,东南风,2级
2020-05-08,15℃,10℃,小雨~阴,东风,2级
2020-05-09,19℃,13℃,阴~晴,西南风,2级
2020-05-10,25℃,14℃,多云,西北风,3级
2020-05-11,27℃,13℃,阴~晴,西北风,3级
2020-05-12,26℃,12℃,晴,西北风,2级
2020-05-13,30℃,18℃,晴~多云,西南风,2级
2020-05-14,30℃,15℃,多云,南风,3级
2020-05-15,22℃,15℃,阴~雷阵雨,东南风,2级
2020-05-16,22℃,13℃,浮尘,东风,2级
2020-05-17,22℃,14℃,多云,西北风,2级
2020-05-18,26℃,15℃,多云,北风,3级
2020-05-19,30℃,15℃,晴,西南风,2级
2020-05-20,29℃,16℃,多云,东北风,2级
2020-05-21,22℃,15℃,阴~多云,东风,2级
2020-05-22,29℃,16℃,晴~雷阵雨,西北风,3级
2020-05-23,26℃,16℃,小雨~晴,西北风,3级
2020-05-24,29℃,17℃,晴,西北风,2级
2020-05-25,24℃,13℃,小雨~多云,东北风,2级
2020-05-26,28℃,16℃,晴~小雨,西北风,2级
2020-05-27,30℃,16℃,晴,西北风,3级
2020-05-28,32℃,17℃,多云~雷阵雨,东南风,2级
2020-05-29,29℃,21℃,阴~多云,东风,2级
2020-05-30,31℃,18℃,阴~雷阵雨,南风,3级
2020-05-31,28℃,16℃,中雨~晴,西北风,3级
2020-06-01,31℃,16℃,晴~雷阵雨,西南风,2级
2020-06-02,32℃,20℃,晴,西南风,2级
2020-06-03,36℃,20℃,浮尘~晴,西北风,3级
2020-06-04,32℃,18℃,晴~多云,东风,2级
2020-06-05,30℃,17℃,晴,东南风,2级
2020-06-06,31℃,19℃,晴~多云,东南风,2级
2020-06-07,35℃,24℃,多云~晴,南风,2级
2020-06-08,37℃,26℃,多云,西南风,3级
2020-06-09,28℃,21℃,阴~雷阵雨,东风,2级
2020-06-10,33℃,21℃,阴~晴,西北风,2级
2020-06-11,31℃,21℃,阴~雷阵雨,北风,2级
2020-06-12,34℃,23℃,阴~多云,西南风,2级
2020-06-13,32℃,23℃,阴~晴,西北风,2级
2020-06-14,34℃,22℃,晴,西北风,3级
2020-06-15,37℃,22℃,多云,西南风,2级
2020-06-16,36℃,24℃,阴~多云,南风,2级
2020-06-17,31℃,21℃,阴,西南风,3级
2020-06-18,32℃,22℃,阴~多云,西南风,2级
2020-06-19,32℃,24℃,小雨~多云,西南风,3级
2020-06-20,33℃,25℃,阴~雷阵雨,西南风,3级
2020-06-21,34℃,25℃,多云~晴,西南风,3级
2020-06-22,32℃,24℃,多云,南风,3级
2020-06-23,31℃,22℃,阴~多云,东南风,3级
2020-06-24,29℃,22℃,阴~雷阵雨,东南风,2级
2020-06-25,29℃,20℃,阴~雷阵雨,南风,2级
2020-06-26,28℃,21℃,小雨~多云,东南风,2级
2020-06-27,32℃,22℃,晴~多云,东南风,2级
2020-06-28,30℃,22℃,阴~雷阵雨,南风,2级
2020-06-29,27℃,21℃,阴~小雨,东风,2级
2020-06-30,34℃,22℃,阴~多云,西北风,1级
2020-07-01,34℃,22℃,阴~雷阵雨,东风,2级
2020-07-02,28℃,21℃,阴~中雨,东北风,2级
2020-07-03,27℃,20℃,小雨~多云,东风,2级
2020-07-04,30℃,22℃,阴~雷阵雨,西南风,2级
2020-07-05,32℃,21℃,阴~雷阵雨,北风,2级
2020-07-06,33℃,22℃,多云,东南风,2级
2020-07-07,33℃,21℃,小雨~晴,东北风,2级
2020-07-08,32℃,21℃,晴~雷阵雨,南风,2级
2020-07-09,23℃,19℃,中雨~阴,东南风,2级
2020-07-10,25℃,21℃,多云~雷阵雨,东南风,2级
2020-07-11,26℃,22℃,阴~雷阵雨,东南风,2级
2020-07-12,28℃,21℃,阴~雾,东南风,2级
2020-07-13,30℃,22℃,阴~多云,东南风,2级
2020-07-14,31℃,22℃,多云,西南风,2级
2020-07-15,33℃,22℃,晴,西南风,2级
2020-07-16,33℃,25℃,多云~雷阵雨,西南风,3级
2020-07-17,29℃,23℃,阴~雷阵雨,西南风,3级
2020-07-18,27℃,22℃,阴~雷阵雨,东南风,2级
2020-07-19,32℃,20℃,多云~晴,东北风,2级
2020-07-20,34℃,24℃,多云~晴,南风,2级
2020-07-21,34℃,22℃,阴~多云,西南风,3级
2020-07-22,32℃,22℃,多云,东南风,2级
2020-07-23,32℃,22℃,多云~晴,东南风,2级
2020-07-24,37℃,24℃,晴,西南风,2级
2020-07-25,33℃,24℃,阴~雷阵雨,西南风,2级
2020-07-26,25℃,21℃,小雨,南风,2级
2020-07-27,24℃,21℃,小雨~阴,东南风,2级
2020-07-28,28℃,22℃,阴~雷阵雨,东南风,2级
2020-07-29,31℃,24℃,多云,西南风,2级
2020-07-30,34℃,25℃,多云~雷阵雨,西南风,2级
2020-07-31,34℃,24℃,多云~雾,南风,2级
2020-08-01,30℃,25℃,阴,西南风,2级
2020-08-02,33℃,22℃,小雨~晴,西南风,2级
2020-08-03,33℃,24℃,多云~晴,西北风,2级
2020-08-04,37℃,26℃,多云,西北风,2级
2020-08-05,30℃,23℃,中雨~阴,西南风,2级
2020-08-06,31℃,23℃,小雨~多云,东南风,2级
2020-08-07,33℃,22℃,阴~多云,东南风,2级
2020-08-08,31℃,23℃,阴~多云,南风,2级
2020-08-09,33℃,22℃,晴~雷阵雨,西南风,2级
2020-08-10,32℃,23℃,多云~晴,西南风,2级
2020-08-11,34℃,25℃,晴~雷阵雨,西南风,2级
2020-08-12,31℃,24℃,小雨~大雨,东南风,2级
2020-08-13,32℃,23℃,阴~晴,西南风,2级
2020-08-14,34℃,26℃,晴~雷阵雨,西南风,2级
2020-08-15,31℃,22℃,小雨~多云,西南风,2级
2020-08-16,25℃,21℃,小雨,南风,2级
2020-08-17,27℃,24℃,阴~雷阵雨,东南风,2级
2020-08-18,26℃,22℃,小雨,北风,2级
2020-08-19,26℃,19℃,阴~多云,东北风,2级
2020-08-20,26℃,17℃,小雨~多云,东南风,2级
2020-08-21,28℃,17℃,晴,南风,2级
2020-08-22,28℃,19℃,多云,西南风,2级
2020-08-23,28℃,21℃,多云~暴雨,南风,2级
2020-08-24,33℃,20℃,阴~晴,西北风,2级
2020-08-25,34℃,22℃,阴~晴,东南风,2级
2020-08-26,28℃,22℃,多云,东南风,2级
2020-08-27,32℃,19℃,多云,东南风,2级
2020-08-28,30℃,22℃,晴~多云,东南风,2级
2020-08-29,30℃,23℃,多云~阴,东南风,2级
2020-08-30,30℃,22℃,阴~雷阵雨,东南风,2级
2020-08-31,26℃,18℃,阴~晴,西北风,2级
2020-09-01,33℃,20℃,阴~多云,西北风,2级
2020-09-02,29℃,19℃,多云,西北风,3级
2020-09-03,28℃,16℃,多云~晴,西北风,3级
2020-09-04,30℃,17℃,多云~雷阵雨,西南风,2级
2020-09-05,30℃,19℃,多云~晴,东南风,2级
2020-09-06,30℃,20℃,多云~雷阵雨,东南风,2级
2020-09-07,31℃,21℃,晴~多云,东北风,2级
2020-09-08,31℃,19℃,多云,西北风,2级
2020-09-09,31℃,18℃,晴~多云,西北风,2级
2020-09-10,26℃,18℃,小雨~阴,北风,3级
2020-09-11,26℃,19℃,多云~小雨,东北风,2级
2020-09-12,26℃,18℃,多云~小雨,东北风,2级
2020-09-13,27℃,19℃,多云~小雨,东南风,2级
2020-09-14,25℃,19℃,小雨~中雨,西南风,2级
2020-09-15,23℃,17℃,小雨~晴,东南风,2级
2020-09-16,26℃,15℃,晴,西北风,3级
2020-09-17,27℃,13℃,晴,西北风,3级
2020-09-18,28℃,12℃,晴,西北风,2级
2020-09-19,29℃,14℃,晴,东北风,1级
2020-09-20,26℃,15℃,晴~多云,东南风,2级
2020-09-21,26℃,16℃,阴~多云,南风,2级
2020-09-22,26℃,16℃,多云~阴,东北风,2级
2020-09-23,18℃,16℃,大雨~小雨,东北风,2级
2020-09-24,24℃,13℃,多云,东风,2级
2020-09-25,25℃,14℃,阴~晴,东南风,1级
2020-09-26,25℃,14℃,晴,南风,2级
2020-09-27,26℃,14℃,晴~多云,南风,2级
2020-09-28,25℃,14℃,多云~中雨,南风,2级
2020-09-29,19℃,9℃,小雨~晴,东北风,2级
2020-09-30,20℃,13℃,晴~小雨,南风,2级
2020-10-01,20℃,14℃,阴~晴,南风,2级
